result_id,status,provider,model,example_id,output,score,weight,score_reason,input_tokens,output_tokens,latency_ms,ttft_ms,tps,num_llm_calls
1,completed,SambaNova,MiniMax-M2.7,0,PASS,1,1,,360,127,433.26568603515625,117.73347854614258,399.325320868828,1
2,completed,SambaNova,MiniMax-M2.7,1,PASS,1,1,,361,138,783.8320732116699,362.8191947937012,325.4057227769422,1
3,completed,SambaNova,MiniMax-M2.7,2,PASS,1,1,,372,128,535.4337692260742,219.62761878967285,402.14542948103826,1
4,completed,SambaNova,MiniMax-M2.7,3,PASS,1,1,,371,189,668.5454845428467,217.40269660949707,416.71950661388945,1
5,completed,SambaNova,MiniMax-M2.7,4,PASS,1,1,,369,167,888.338565826416,362.8191947937012,315.8779849994647,1
6,completed,SambaNova,MiniMax-M2.7,5,PASS,1,1,,368,180,521.7628479003906,116.31321907043457,441.4851741671513,1
7,completed,SambaNova,MiniMax-M2.7,6,PASS,1,1,,368,772,1870.1910972595215,117.36345291137695,439.86070306799934,1
8,completed,SambaNova,MiniMax-M2.7,7,PASS,1,1,,369,301,1202.7993202209473,362.8191947937012,357.15130741624216,1
9,completed,SambaNova,MiniMax-M2.7,8,PASS,1,1,,367,168,523.5574245452881,118.34025382995605,412.1246878684682,1
10,completed,SambaNova,MiniMax-M2.7,9,PASS,1,1,,366,140,433.8047504425049,117.61236190795898,439.6057749657482,1
11,completed,SambaNova,MiniMax-M2.7,10,PASS,1,1,,365,264,1031.0578346252441,400.6340503692627,417.1796917693856,1
12,completed,SambaNova,MiniMax-M2.7,11,PASS,1,1,,361,187,574.3141174316406,124.17483329772949,413.20543786324413,1
13,completed,SambaNova,MiniMax-M2.7,12,PASS,1,1,,364,267,750.0860691070557,119.59171295166016,421.89116746738966,1
14,completed,SambaNova,MiniMax-M2.7,13,PASS,1,1,,367,305,945.3165531158447,226.15861892700195,422.7166044450161,1
15,completed,SambaNova,MiniMax-M2.7,14,PASS,1,1,,372,152,479.88247871398926,118.79491806030273,418.1811185260457,1
16,completed,SambaNova,MiniMax-M2.7,15,PASS,1,1,,373,172,523.7941741943359,118.18861961364746,421.5918595512784,1
