result_id,status,provider,model,example_id,output,score,weight,score_reason,input_tokens,output_tokens,latency_ms,ttft_ms,tps,num_llm_calls
1,completed,SambaNova,MiniMax-M2.7,10,"FAIL
6/11 sub-steps passed; failed steps: 10.4, 10.6, 10.7, 10.8, 10.11",0.55,1,,28951,51878,121265.55705070496,231.34922981262207,442.61328795911083,11
2,completed,SambaNova,MiniMax-M2.7,1,"PASS
1/1 sub-steps passed",1,1,,925,3036,6880.875825881958,119.72212791442871,448.88788741962065,1
3,completed,SambaNova,MiniMax-M2.7,3,"PASS
1/1 sub-steps passed",1,1,,741,3070,7039.732217788696,121.59061431884766,443.61624492634246,1
4,completed,SambaNova,MiniMax-M2.7,4,"FAIL
0/1 sub-steps passed; failed steps: 4.1",0,1,,2130,96174,238764.4476890564,119.7960376739502,403.4290548519876,3
5,completed,SambaNova,MiniMax-M2.7,6,"PASS
1/1 sub-steps passed",1,1,,704,2064,4894.366264343262,224.72810745239258,441.79011963821694,1
6,completed,SambaNova,MiniMax-M2.7,7,"PASS
1/1 sub-steps passed",1,1,,725,3141,7219.319820404053,121.8264102935791,442.40970981769823,1
7,completed,SambaNova,MiniMax-M2.7,19,"PASS
2/2 sub-steps passed",1,1,,1167,5318,12238.329887390137,124.17161464691162,443.04234976573485,2
8,completed,SambaNova,MiniMax-M2.7,78,"FAIL
2/3 sub-steps passed; failed steps: 78.3",0.67,1,,12010,93800,234678.98416519165,253.62038612365723,399.88889996912843,5
9,completed,SambaNova,MiniMax-M2.7,29,"PASS
3/3 sub-steps passed",1,1,,2547,4665,11019.275426864624,157.17816352844238,442.83738820282264,3
10,completed,SambaNova,MiniMax-M2.7,38,"PASS
3/3 sub-steps passed",1,1,,4489,14395,33007.689237594604,157.48834609985352,443.85066248718215,3
11,completed,SambaNova,MiniMax-M2.7,44,"FAIL
1/3 sub-steps passed; failed steps: 44.2, 44.3",0.33,1,,3940,12636,29060.434341430664,186.06138229370117,444.789397078881,3
12,completed,SambaNova,MiniMax-M2.7,47,"FAIL
2/4 sub-steps passed; failed steps: 47.3, 47.4",0.5,1,,8852,107642,266124.34339523315,159.40308570861816,418.00181679097307,6
13,completed,SambaNova,MiniMax-M2.7,49,"FAIL
0/4 sub-steps passed; failed steps: 49.1, 49.2, 49.3, 49.4",0,1,,7467,12538,29047.744274139404,207.84199237823486,444.56189349068643,4
14,completed,SambaNova,MiniMax-M2.7,51,"FAIL
1/4 sub-steps passed; failed steps: 51.2, 51.3, 51.4",0.25,1,,6682,14995,34507.85946846008,202.39484310150146,444.2207991877942,4
15,completed,SambaNova,MiniMax-M2.7,70,"FAIL
6/8 sub-steps passed; failed steps: 70.7, 70.8",0.75,1,,26304,30587,72144.28377151489,243.05593967437744,441.13221871205417,8
16,completed,SambaNova,gemma-4-31B-it,10,"FAIL
2/11 sub-steps passed; failed steps: 10.1, 10.3, 10.4, 10.5, 10.6, 10.7, 10.8, 10.9, 10.11",0.18,1,,35944,5038,34320.33324241638,821.2518692016602,199.66754968622575,11
17,completed,SambaNova,gemma-4-31B-it,1,"PASS
1/1 sub-steps passed",1,1,,1014,322,2446.363925933838,811.5594387054443,196.35375514794148,1
18,completed,SambaNova,gemma-4-31B-it,3,"PASS
1/1 sub-steps passed",1,1,,794,407,2837.3444080352783,814.4369125366211,200.7012188661246,1
19,completed,SambaNova,gemma-4-31B-it,4,"PASS
1/1 sub-steps passed",1,1,,748,339,2541.9576168060303,860.3229522705078,200.99490521227904,1
20,completed,SambaNova,gemma-4-31B-it,6,"PASS
1/1 sub-steps passed",1,1,,743,433,2984.7729206085205,812.64328956604,198.88315772050316,1
21,completed,SambaNova,gemma-4-31B-it,7,"PASS
1/1 sub-steps passed",1,1,,760,445,3028.052806854248,809.8759651184082,200.1643834909694,1
22,completed,SambaNova,gemma-4-31B-it,19,"PASS
2/2 sub-steps passed",1,1,,1203,470,4041.396141052246,832.1726322174072,197.48809022984994,2
23,completed,SambaNova,gemma-4-31B-it,78,"FAIL
2/3 sub-steps passed; failed steps: 78.3",0.67,1,,7192,2132,13141.588687896729,818.8445568084717,198.76968129035217,3
24,completed,SambaNova,gemma-4-31B-it,29,"PASS
3/3 sub-steps passed",1,1,,2576,506,4999.277591705322,810.2321624755859,198.20585251137618,3
25,completed,SambaNova,gemma-4-31B-it,38,"PASS
3/3 sub-steps passed",1,1,,4802,940,7130.249261856079,808.8893890380859,199.56302827925288,3
26,completed,SambaNova,gemma-4-31B-it,44,"FAIL
2/3 sub-steps passed; failed steps: 44.3",0.67,1,,4405,1559,10182.141065597534,810.5111122131348,200.41301373950643,3
27,completed,SambaNova,gemma-4-31B-it,47,"FAIL
3/4 sub-steps passed; failed steps: 47.4",0.75,1,,5046,1377,10169.550657272339,814.1051530838013,200.57994274504193,4
28,completed,SambaNova,gemma-4-31B-it,49,"PASS
4/4 sub-steps passed",1,1,,7672,1657,11548.277854919434,813.5378360748291,198.77790010628877,4
29,completed,SambaNova,gemma-4-31B-it,51,"FAIL
1/4 sub-steps passed; failed steps: 51.2, 51.3, 51.4",0.25,1,,8008,1836,12406.501770019531,816.7290687561035,200.4288582204681,4
30,completed,SambaNova,gemma-4-31B-it,70,"FAIL
6/8 sub-steps passed; failed steps: 70.7, 70.8",0.75,1,,33207,4919,31213.163137435913,821.1590051651001,199.84695971496845,8
31,completed,SambaNova,gpt-oss-120b,10,"FAIL
6/11 sub-steps passed; failed steps: 10.3, 10.6, 10.7, 10.8, 10.11",0.55,1,,27404,8510,12579.270362854004,120.44501304626465,750.6130300996666,11
32,completed,SambaNova,gpt-oss-120b,1,"PASS
1/1 sub-steps passed",1,1,,1058,511,759.0880393981934,71.07043266296387,741.260100043143,1
33,completed,SambaNova,gpt-oss-120b,3,"PASS
1/1 sub-steps passed",1,1,,819,675,951.8826007843018,53.76839637756348,750.4613519003633,1
34,completed,SambaNova,gpt-oss-120b,4,"PASS
1/1 sub-steps passed",1,1,,794,712,1003.3941268920898,52.9484748840332,748.0701274163681,1
35,completed,SambaNova,gpt-oss-120b,6,"PASS
1/1 sub-steps passed",1,1,,762,552,794.2495346069336,54.2757511138916,744.6209748121179,1
36,completed,SambaNova,gpt-oss-120b,7,"PASS
1/1 sub-steps passed",1,1,,783,600,849.3292331695557,54.05902862548828,753.2031208731249,1
37,completed,SambaNova,gpt-oss-120b,19,"PASS
2/2 sub-steps passed",1,1,,1274,992,1428.494930267334,53.03692817687988,744.0889119424749,2
38,completed,SambaNova,gpt-oss-120b,78,"FAIL
2/3 sub-steps passed; failed steps: 78.3",0.67,1,,6484,3037,4309.560298919678,75.37651062011719,750.1480590719204,3
39,completed,SambaNova,gpt-oss-120b,29,"PASS
3/3 sub-steps passed",1,1,,2805,1243,1876.4214515686035,57.34896659851074,720.368549917121,3
40,completed,SambaNova,gpt-oss-120b,38,"PASS
3/3 sub-steps passed",1,1,,5217,2559,3669.4419384002686,73.03500175476074,753.3766962823164,3
41,completed,SambaNova,gpt-oss-120b,44,"FAIL
2/3 sub-steps passed; failed steps: 44.3",0.67,1,,3816,2443,3473.0324745178223,69.87166404724121,744.8937998603309,3
42,completed,SambaNova,gpt-oss-120b,47,"FAIL
3/4 sub-steps passed; failed steps: 47.4",0.75,1,,5016,2574,3684.354066848755,62.139153480529785,747.2473372549713,4
